Guild: 1148361220940898305 | Channel: 1148365565006717088 | User: 1235606672408445051 | Pong! Latency is 46ms | 2024-05-02 15:07:42.059928
Guild: 1232048133027135549 | Channel: 1232048133551292540 | User: 1235606672408445051 |  | 2024-05-02 15:08:42.542178
Guild: 1036063643718131743 | Channel: 1036063644435349597 | User: 1235606672408445051 |  | 2024-05-02 15:14:28.156386
Guild: 1036063643718131743 | Channel: 1036063644435349597 | User: 1235606672408445051 | Pong! Latency is 36ms | 2024-05-02 15:14:38.734522
Guild: 1036063643718131743 | Channel: 1036063644435349597 | User: 1235606672408445051 | Pong! Latency is 36ms | 2024-05-02 15:14:43.807897
Guild: 1036063643718131743 | Channel: 1036063644435349597 | User: 1235606672408445051 | Pong! Latency is 36ms | 2024-05-02 15:14:46.786911
Guild: 1036063643718131743 | Channel: 1036063644435349597 | User: 1235606672408445051 | Pong! Latency is 36ms | 2024-05-02 15:14:50.671890
Guild: 1179108137698074776 | Channel: 1179108139518414899 | User: 1235606672408445051 |  | 2024-05-02 15:18:42.848448
Guild: 1179108137698074776 | Channel: 1179108139518414899 | User: 1235606672408445051 | Pong! Latency is 36ms | 2024-05-02 15:18:50.873589
Guild: 1179108137698074776 | Channel: 1180546970348175430 | User: 1084262700080713768 |  | 2024-05-02 15:19:08.987040
Guild: 1232048133027135549 | Channel: 1232048133551292540 | User: 1235606672408445051 | Pong! Latency is 34ms | 2024-05-02 16:43:13.487741
Guild: 1232048133027135549 | Channel: 1232048133551292540 | User: 1235606672408445051 | Pong! Latency is 34ms | 2024-05-02 16:43:19.709523
Guild: 1232048133027135549 | Channel: 1232048133551292540 | User: 1235606672408445051 | Pong! Latency is 34ms | 2024-05-02 16:43:27.932182
Guild: 1148361220940898305 | Channel: 1148365565006717088 | User: 1072881281840468059 |  | 2024-05-02 17:04:44.225787
Guild: 1148361220940898305 | Channel: 1148365565006717088 | User: 1053015370115588147 |  | 2024-05-02 17:04:58.693322
Guild: 1148361220940898305 | Channel: 1148365565006717088 | User: 1072881281840468059 |  | 2024-05-02 17:05:59.880904
Guild: 1148361220940898305 | Channel: 1148365565006717088 | User: 1235606672408445051 | Pong! Latency is 31ms | 2024-05-02 17:18:00.358425
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-06 19:01:19.361426
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1235606672408445051 | pasta pasta | 2024-05-06 19:02:53.529120
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1235606672408445051 | I do not have permission to add roles. | 2024-05-06 19:03:12.146593
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1175939710888181871 |  | 2024-05-06 19:03:52.589708
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1175939710888181871 |  | 2024-05-06 19:04:00.213168
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1235606672408445051 | Checking permissions... | 2024-05-06 19:04:21.695492
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1235606672408445051 | <@1175939710888181871>I have been given incorrect permissions. | 2024-05-06 19:04:34.725419
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-06 19:05:02.564308
Guild: 1236750342926893196 | Channel: 1236750343862485055 | User: 621884872327168010 |  | 2024-05-06 19:13:24.067344
Guild: 1236750342926893196 | Channel: 1236750343862485055 | User: 811357143612784650 |  | 2024-05-06 19:37:52.688022
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 811357143612784650 |  | 2024-05-06 19:38:18.693834
Guild: 1236750342926893196 | Channel: 1236750343862485055 | User: 1044156578716200991 |  | 2024-05-06 20:36:41.357612
Guild: 1148361220940898305 | Channel: 1193906241966198814 | User: 1235606672408445051 | I do not have permission to add roles. | 2024-05-07 10:50:33.283946
